,G_2017,A_2017,P_2017,TotIce_2017,G_2018,A_2018,P_2018,TotIce_2018
134,21,46,67,1445.29,16,38,54,1448.07
135,8,25,33,1456.6200000000001,5,21,26,931.8100000000001
136,22,34,56,1508.8,36,34,70,1462.06
137,9,31,40,1214.23,6,26,32,1344.0000000000002
138,15,22,37,987.9,7,28,35,995.42
139,14,31,45,1515.3600000000001,8,21,29,877.44
140,29,55,84,1534.95,31,56,87,1541.4199999999998
141,19,13,32,946.1999999999999,10,14,24,861.84
142,22,47,69,1343.1599999999999,26,68,94,1625.24
143,6,46,52,1640.08,20,52,72,1895.8400000000001
144,5,31,36,1685.68,9,21,30,1338.95
145,39,58,97,1471.12,41,58,99,1810.56
146,32,23,55,1340.0,16,28,44,1181.1399999999999
147,19,30,49,1239.84,14,12,26,967.68
148,15,18,33,1321.2,17,18,35,1292.1
149,10,32,42,1793.6000000000001,4,22,26,1767.1000000000001
150,21,31,52,1421.1599999999999,7,18,25,712.8
151,21,50,71,1591.6499999999999,22,52,74,1596.0
152,20,32,52,1336.6000000000001,17,30,47,1248.9
153,39,61,100,1584.0,41,87,128,1635.8999999999999
154,29,31,60,1318.56,21,16,37,976.5
155,18,14,32,945.0,23,30,53,1330.04
156,10,22,32,1489.15,5,28,33,1661.6
157,11,29,40,1170.1399999999999,23,13,36,949.41
158,14,28,42,1940.94,14,30,44,1914.03
159,11,24,35,953.12,8,26,34,952.32
160,16,43,59,1976.2,9,22,31,1426.9499999999998
161,29,20,49,1211.0,18,19,37,1067.43
162,30,33,63,1243.52,32,47,79,1200.55
163,27,49,76,1654.76,44,66,110,1820.88
164,27,20,47,1392.3600000000001,16,21,37,1339.06
165,17,26,43,1223.22,10,18,28,1048.58
166,44,26,70,1350.54,30,20,50,1412.04
167,20,15,35,1321.8400000000001,15,16,31,815.9200000000001
168,16,37,53,1500.6000000000001,13,29,42,905.0000000000001
169,14,29,43,1110.0,21,17,38,970.88
170,34,58,92,1531.76,27,55,82,1473.54
171,20,28,48,1362.8400000000001,27,34,61,1451.3999999999999
172,17,16,33,1204.75,15,15,30,1330.0200000000002
173,6,35,41,1934.5,5,38,43,1921.1399999999999
174,22,38,60,1200.64,19,34,53,1351.98
175,14,21,35,1092.96,14,19,33,1245.0
176,34,35,69,1495.3400000000001,18,25,43,1274.4299999999998
177,14,39,53,1835.25,15,41,56,2062.2999999999997
178,23,18,41,1301.92,26,30,56,1310.4
179,9,23,32,1027.4,7,34,41,1968.0
180,11,50,61,1200.08,14,34,48,1303.1499999999999
181,15,39,54,1465.45,14,50,64,1564.0
182,24,24,48,1120.34,28,41,69,1648.2
183,24,37,61,1686.42,28,49,77,1701.5
184,10,22,32,1251.1999999999998,9,28,37,1832.7
185,13,21,34,1248.04,19,16,35,1261.17
186,6,45,51,2088.06,7,40,47,2187.7599999999998
187,25,25,50,1402.2,22,43,65,1553.8999999999999
188,31,45,76,1769.56,33,43,76,1769.6000000000001
189,31,33,64,1382.32,34,48,82,1485.9
190,29,36,65,1397.7600000000002,30,53,83,1652.3
191,16,41,57,1917.2399999999998,9,37,46,1936.5
192,13,52,65,1673.1,9,28,37,1532.6999999999998
193,29,60,89,1695.76,35,65,100,1657.42
194,27,59,86,1462.5,45,53,98,1500.6000000000001
195,18,29,47,1361.6,25,29,54,1283.4
196,15,25,40,1307.8999999999999,18,9,27,1124.0
197,39,54,93,1453.1200000000001,11,26,37,649.4399999999999
198,23,41,64,1384.1599999999999,21,55,76,1469.44
199,24,32,56,1126.4,16,20,36,902.4
200,21,15,36,1202.85,30,36,66,1323.6599999999999
201,14,21,35,1246.44,22,18,40,1142.1899999999998
202,22,24,46,1429.9,35,39,74,1464.54
203,20,14,34,1332.5,25,33,58,1312.0
