,PIM_2017,+/-_2017,HITS_2017,BS_2017,TotIce_2017,PIM_2018,+/-_2018,HITS_2018,BS_2018,TotIce_2018
138,12,0,41,24,987.9,6,-23,54,28,995.42
139,46,9,51,53,1515.3600000000001,22,-2,13,32,877.44
140,34,0,32,40,1534.95,54,13,59,41,1541.4199999999998
141,84,-6,75,22,946.1999999999999,91,-10,97,27,861.84
142,26,-1,31,25,1343.1599999999999,22,22,29,43,1625.24
143,14,-4,48,84,1640.08,14,24,61,114,1895.8400000000001
144,16,19,41,121,1685.68,8,22,37,100,1338.95
145,55,11,38,22,1471.12,34,20,54,31,1810.56
146,42,2,94,26,1340.0,43,-2,85,13,1181.1399999999999
147,41,5,95,19,1239.84,30,6,126,27,967.68
148,50,1,182,60,1321.2,44,12,175,51,1292.1
149,20,-42,95,104,1793.6000000000001,18,0,77,89,1767.1000000000001
150,18,1,13,39,1421.1599999999999,8,-12,5,12,712.8
151,46,5,37,51,1591.6499999999999,30,2,54,30,1596.0
152,26,10,56,39,1336.6000000000001,24,0,53,44,1248.9
153,42,15,31,15,1584.0,62,24,44,31,1635.8999999999999
154,26,14,39,27,1318.56,15,2,27,16,976.5
155,36,14,58,20,945.0,30,-4,94,20,1330.04
156,21,-20,81,69,1489.15,12,18,87,83,1661.6
157,9,4,64,43,1170.1399999999999,8,8,43,34,949.41
158,44,-28,160,79,1940.94,52,-16,162,52,1914.03
159,6,16,80,48,953.12,20,4,104,34,952.32
160,82,18,111,90,1976.2,60,5,56,75,1426.9499999999998
161,58,2,137,64,1211.0,26,-3,150,34,1067.43
162,26,21,48,42,1243.52,30,23,43,60,1200.55
163,32,-20,18,14,1654.76,22,2,21,18,1820.88
164,16,1,85,26,1392.3600000000001,28,-6,74,41,1339.06
165,73,1,150,14,1223.22,64,-3,135,7,1048.58
166,24,8,74,43,1350.54,42,-24,70,44,1412.04
167,23,-4,137,55,1321.8400000000001,17,16,114,36,815.9200000000001
168,18,1,43,38,1500.6000000000001,30,14,35,15,905.0000000000001
169,20,-3,51,35,1110.0,13,-10,60,20,970.88
170,36,-4,10,17,1531.76,28,-19,12,18,1473.54
171,49,8,127,46,1362.8400000000001,64,16,115,52,1451.3999999999999
172,36,21,101,56,1204.75,54,-3,103,65,1330.0200000000002
173,48,-25,206,111,1934.5,38,-41,235,121,1921.1399999999999
174,24,31,40,24,1200.64,14,13,39,33,1351.98
175,38,7,137,37,1092.96,44,-3,137,52,1245.0
