,Name,Rk_2017,GP_2017,G_2017,A_2017,P_2017,PIM_2017,+/-_2017,TOI_2017,PPG_2017,GWG_2017,PPP_2017,G/GP_2017,A/GP_2017,P/GP_2017,SHOTS_2017,SH_2017,HITS_2017,BS_2017,Rk_2018,GP_2018,G_2018,A_2018,P_2018,PIM_2018,+/-_2018,TOI_2018,PPG_2018,GWG_2018,PPP_2018,G/GP_2018,A/GP_2018,P/GP_2018,SHOTS_2018,SH_2018,HITS_2018,BS_2018,norm_P_2017,norm_PPP_2017,norm_SHOTS_2017,norm_GWG_2017,norm_SH_2017,norm_total_2017
23,Blake Wheeler,9,81,23,68,91,52,13,1214,6,2,40,0.284,0.84,1.123,246,9.4,94,66,14,82,20,71,91,60,0,1242,2,3,33,0.244,0.866,1.11,231,8.7,81,53,0.7763157894736842,0.9523809523809523,0.6175438596491228,0.16666666666666666,0.31884057971014496,2.831747847880571
24,Bo Horvat,151,64,22,22,44,10,-1,1161,10,3,13,0.344,0.344,0.688,158,13.9,35,29,70,82,27,34,61,33,-4,1250,7,3,18,0.329,0.415,0.744,227,11.9,62,63,0.15789473684210525,0.30952380952380953,0.3087719298245614,0.25,0.5362318840579711,1.5624223602484473
25,Bobby Ryan,235,62,11,22,33,14,-12,986,1,1,4,0.177,0.355,0.532,112,9.8,97,52,156,78,15,27,42,35,-29,940,7,1,16,0.192,0.346,0.538,160,9.4,77,49,0.013157894736842105,0.09523809523809523,0.14736842105263157,0.08333333333333333,0.3381642512077295,0.6772619955686318
26,Boone Jenner,243,75,13,19,32,39,1,987,2,2,3,0.173,0.253,0.427,187,7.0,205,83,182,77,16,22,38,42,6,1023,1,3,3,0.208,0.286,0.494,170,9.4,158,70,0.0,0.07142857142857142,0.4105263157894737,0.16666666666666666,0.2028985507246377,0.8515201046093495
27,Brad Marchand,13,68,34,51,85,63,25,1182,8,8,23,0.5,0.75,1.25,182,18.7,37,25,5,79,36,64,100,96,15,1177,10,9,34,0.456,0.81,1.266,231,15.6,46,19,0.6973684210526315,0.5476190476190477,0.3929824561403509,0.6666666666666666,0.7681159420289855,3.072752533507682
28,Brandon Montour,250,80,9,23,32,42,16,1228,5,5,12,0.113,0.288,0.4,160,5.6,96,83,215,82,8,27,35,56,-20,1346,1,2,6,0.098,0.329,0.427,181,4.4,99,121,0.0,0.2857142857142857,0.3157894736842105,0.4166666666666667,0.13526570048309178,1.1534361265482547
29,Brandon Saad,208,82,18,17,35,14,-10,1050,1,8,1,0.22,0.207,0.427,237,7.6,29,32,124,80,23,24,47,12,-9,1061,5,3,6,0.288,0.3,0.588,195,11.8,52,25,0.039473684210526314,0.023809523809523808,0.5859649122807018,0.6666666666666666,0.2318840579710145,1.547798844938433
30,Brayden Point,45,82,32,34,66,24,18,1178,5,12,11,0.39,0.415,0.805,217,14.8,26,57,12,79,41,51,92,28,27,1135,20,7,35,0.519,0.646,1.165,191,21.5,31,43,0.4473684210526316,0.2619047619047619,0.5157894736842106,1.0,0.5797101449275363,2.80477280156914
31,Brayden Schenn,35,82,28,42,70,56,10,1183,8,8,19,0.341,0.512,0.854,210,13.3,154,37,91,72,17,37,54,40,3,1115,4,5,12,0.236,0.514,0.75,159,10.7,111,31,0.5,0.4523809523809524,0.49122807017543857,0.6666666666666666,0.5072463768115942,2.6175220660346517
32,Brendan Gallagher,95,82,31,23,54,34,-13,970,8,4,17,0.378,0.28,0.659,278,11.2,90,41,102,82,33,19,52,49,10,983,4,4,7,0.402,0.232,0.634,302,10.9,126,31,0.2894736842105263,0.40476190476190477,0.7298245614035088,0.3333333333333333,0.40579710144927533,2.1631905851585485
33,Brent Burns,42,82,12,55,67,46,-16,1514,5,2,27,0.146,0.671,0.817,332,3.6,79,136,22,82,16,67,83,34,13,1505,7,6,28,0.195,0.817,1.012,300,5.3,90,105,0.4605263157894737,0.6428571428571429,0.9192982456140351,0.16666666666666666,0.038647342995169094,2.2279957139224877
34,Brock Boeser,91,62,29,26,55,16,-5,1049,10,4,23,0.468,0.419,0.887,179,16.2,29,24,80,69,26,30,56,22,-2,1149,6,3,15,0.377,0.435,0.812,209,12.4,14,22,0.3026315789473684,0.5476190476190477,0.3824561403508772,0.3333333333333333,0.6473429951690821,2.213383095419709
35,Brock Nelson,207,82,19,16,35,43,-4,884,4,3,8,0.232,0.195,0.427,138,13.8,50,52,95,82,25,28,53,28,20,1078,2,3,8,0.305,0.341,0.646,181,13.8,51,55,0.039473684210526314,0.19047619047619047,0.23859649122807017,0.25,0.5314009661835749,1.2499473320983618
36,Bryan Little,160,82,16,27,43,28,2,1016,2,2,12,0.195,0.329,0.524,129,12.4,50,33,162,82,15,26,41,26,-12,949,4,5,7,0.183,0.317,0.5,126,11.9,62,29,0.14473684210526316,0.2857142857142857,0.20701754385964913,0.16666666666666666,0.46376811594202905,1.2679034542878935
37,Bryan Rust,187,69,13,25,38,26,11,962,2,3,4,0.188,0.362,0.551,123,10.6,97,40,206,72,18,17,35,24,10,954,0,4,0,0.25,0.236,0.486,141,12.8,119,59,0.07894736842105263,0.09523809523809523,0.18596491228070175,0.25,0.37681159420289856,0.9869619701427482
38,Calle Järnkrok,209,68,16,19,35,12,20,953,1,3,4,0.235,0.279,0.515,105,15.2,36,31,312,79,10,16,26,12,13,925,1,1,2,0.127,0.203,0.329,106,9.4,56,22,0.039473684210526314,0.09523809523809523,0.12280701754385964,0.25,0.5990338164251208,1.106552613417602
39,Cam Atkinson,137,65,24,22,46,14,19,1135,3,5,10,0.369,0.338,0.708,231,10.4,32,29,56,80,41,28,69,20,3,1162,8,8,14,0.513,0.35,0.863,295,13.9,27,25,0.18421052631578946,0.23809523809523808,0.5649122807017544,0.4166666666666667,0.3671497584541063,1.771034470233555
40,Carl Söderberg,191,77,16,21,37,26,1,1041,3,3,5,0.208,0.273,0.481,150,10.7,71,64,114,82,23,26,49,26,-5,1046,2,2,10,0.28,0.317,0.598,188,12.2,99,67,0.06578947368421052,0.11904761904761904,0.2807017543859649,0.25,0.38164251207729466,1.0971813591950892
41,Charlie Coyle,197,66,11,26,37,18,8,991,0,1,3,0.167,0.394,0.561,117,9.4,76,63,221,81,12,22,34,20,-1,1006,1,2,4,0.148,0.272,0.42,155,7.7,77,56,0.06578947368421052,0.07142857142857142,0.1649122807017544,0.08333333333333333,0.31884057971014496,0.7043042388580146
42,Chris Kreider,190,58,16,21,37,44,-2,936,7,0,12,0.276,0.362,0.638,137,11.7,103,24,103,79,28,24,52,57,4,1044,7,2,12,0.354,0.304,0.658,201,13.9,159,49,0.06578947368421052,0.2857142857142857,0.23508771929824562,0.0,0.429951690821256,1.0165431695179978
43,Chris Tierney,176,82,17,23,40,8,0,959,3,2,7,0.207,0.28,0.488,118,14.4,26,45,120,81,9,39,48,26,-22,1021,0,1,10,0.111,0.481,0.593,116,7.8,30,54,0.10526315789473684,0.16666666666666666,0.16842105263157894,0.16666666666666666,0.5603864734299517,1.1674040172896007
44,Claude Giroux,2,82,34,68,102,20,28,1221,9,1,36,0.415,0.829,1.244,193,17.6,30,23,19,82,22,63,85,24,9,1287,2,4,23,0.268,0.768,1.037,229,9.6,28,19,0.9210526315789473,0.8571428571428571,0.43157894736842106,0.08333333333333333,0.7149758454106281,3.008083614834187
45,Clayton Keller,50,82,23,42,65,24,-7,1085,6,3,20,0.28,0.512,0.793,212,10.9,7,28,129,82,14,33,47,24,-21,1094,1,5,19,0.171,0.402,0.573,200,7.0,16,21,0.4342105263157895,0.47619047619047616,0.4982456140350877,0.25,0.39130434782608703,2.0499509643674405
46,Colin Miller,172,82,10,31,41,53,-4,1160,5,2,17,0.122,0.378,0.5,177,5.7,165,64,276,65,3,26,29,44,0,1178,1,0,13,0.046,0.4,0.446,131,2.3,122,64,0.11842105263157894,0.40476190476190477,0.37543859649122807,0.16666666666666666,0.14009661835748793,1.2053848389088664
47,Colton Parayko,218,82,6,29,35,13,-7,1356,2,0,9,0.073,0.354,0.427,212,2.8,120,141,283,80,10,18,28,15,20,1367,4,3,8,0.125,0.225,0.35,176,5.7,127,157,0.039473684210526314,0.21428571428571427,0.4982456140350877,0.0,0.0,0.7520050125313282
48,Connor McDavid,1,82,41,67,108,26,20,1292,5,7,20,0.5,0.817,1.317,274,15.0,28,46,2,78,41,75,116,20,3,1370,9,9,33,0.526,0.962,1.487,240,17.1,39,30,1.0,0.47619047619047616,0.7157894736842105,0.5833333333333334,0.5893719806763285,3.3646852638843487
49,Craig Smith,108,79,25,26,51,24,20,922,9,2,14,0.316,0.329,0.646,229,10.9,60,35,181,76,21,17,38,20,11,907,4,2,8,0.276,0.224,0.5,205,10.2,77,33,0.25,0.3333333333333333,0.5578947368421052,0.16666666666666666,0.39130434782608703,1.6991990846681921
50,Danton Heinen,135,77,16,31,47,16,10,901,2,4,12,0.208,0.403,0.61,135,11.9,45,33,222,77,11,23,34,16,13,838,1,2,7,0.143,0.299,0.442,114,9.7,54,36,0.19736842105263158,0.2857142857142857,0.22807017543859648,0.3333333333333333,0.4396135265700484,1.4840997421088953
51,David Krejcí,152,64,17,27,44,18,10,1012,7,2,13,0.266,0.422,0.688,119,14.3,31,35,45,81,20,53,73,16,7,1060,6,4,16,0.247,0.654,0.901,139,14.4,28,24,0.15789473684210525,0.30952380952380953,0.17192982456140352,0.16666666666666666,0.5555555555555556,1.3615705931495405
52,David Pastrnak,21,82,35,45,80,37,10,1079,13,5,26,0.427,0.549,0.976,246,14.2,55,31,26,66,38,43,81,32,6,1125,17,4,33,0.576,0.652,1.227,235,16.2,57,25,0.631578947368421,0.6190476190476191,0.6175438596491228,0.4166666666666667,0.5507246376811594,2.835561730412989
53,David Perron,47,70,16,50,66,50,1,1067,1,4,18,0.229,0.714,0.943,125,12.8,118,20,132,57,23,23,46,46,3,1025,7,1,14,0.404,0.404,0.807,112,20.5,52,13,0.4473684210526316,0.42857142857142855,0.19298245614035087,0.3333333333333333,0.48309178743961356,1.8853474265373578
54,Derek Ryan,186,80,15,23,38,28,-15,936,3,1,7,0.188,0.288,0.475,135,11.1,52,27,184,81,13,25,38,24,21,828,2,1,7,0.16,0.309,0.469,103,12.6,19,19,0.07894736842105263,0.16666666666666666,0.22807017543859648,0.08333333333333333,0.4009661835748793,0.9579837274345284
55,Derek Stepan,87,82,14,42,56,26,-7,1155,3,2,18,0.171,0.512,0.683,209,6.7,52,54,210,72,15,20,35,14,-2,1153,1,3,3,0.208,0.278,0.486,195,7.7,50,51,0.3157894736842105,0.42857142857142855,0.48771929824561405,0.16666666666666666,0.1884057971014493,1.587152664269369
56,Derick Brassard,140,72,21,25,46,34,0,1063,5,3,6,0.292,0.347,0.639,197,10.7,96,25,347,70,14,9,23,39,-19,899,2,0,5,0.2,0.129,0.329,110,12.7,102,15,0.18421052631578946,0.14285714285714285,0.4456140350877193,0.25,0.38164251207729466,1.4043242163379461
57,Devin Shore,246,82,11,21,32,14,-30,925,2,1,11,0.134,0.256,0.39,123,8.9,71,57,271,76,10,19,29,13,-12,855,2,4,5,0.132,0.25,0.382,82,12.2,94,64,0.0,0.2619047619047619,0.18596491228070175,0.08333333333333333,0.2946859903381643,0.8258889978569612
58,Dougie Hamilton,153,82,17,27,44,64,1,1290,6,4,12,0.207,0.329,0.537,270,6.3,83,80,175,82,18,21,39,54,0,1180,2,2,7,0.22,0.256,0.476,259,7.0,160,91,0.15789473684210525,0.2857142857142857,0.7017543859649122,0.3333333333333333,0.16908212560386474,1.6477788674585012
59,Drew Doughty,75,82,10,50,60,54,23,1609,3,4,20,0.122,0.61,0.732,205,4.9,127,128,140,82,8,37,45,44,-34,1595,7,1,24,0.098,0.451,0.549,154,5.2,168,120,0.3684210526315789,0.47619047619047616,0.47368421052631576,0.3333333333333333,0.10144927536231887,1.7530783480440228
60,Dustin Brown,68,81,28,33,61,58,31,1190,9,6,15,0.346,0.407,0.753,222,12.6,189,33,107,72,22,29,51,24,-17,1224,9,3,12,0.306,0.403,0.708,180,12.2,150,29,0.3815789473684211,0.35714285714285715,0.5333333333333333,0.5,0.4734299516908213,2.245485089535433
61,Dustin Byfuglien,147,69,8,37,45,112,15,1460,4,1,22,0.116,0.536,0.652,193,4.2,147,100,257,42,4,27,31,69,4,1461,1,1,16,0.095,0.643,0.738,115,3.5,77,51,0.17105263157894737,0.5238095238095238,0.43157894736842106,0.08333333333333333,0.06763285024154592,1.2774072863317714
62,Dylan Larkin,61,82,16,47,63,61,-9,1190,1,4,8,0.195,0.573,0.768,232,6.9,76,42,44,76,32,41,73,75,-6,1310,7,4,15,0.421,0.539,0.961,287,11.2,80,38,0.40789473684210525,0.19047619047619047,0.5684210526315789,0.3333333333333333,0.19806763285024157,1.6981929461334495
63,Elias Lindholm,154,81,16,28,44,18,-8,1072,6,4,9,0.198,0.346,0.543,153,10.5,98,41,30,81,27,51,78,20,30,1202,9,5,26,0.333,0.63,0.963,182,14.8,82,39,0.15789473684210525,0.21428571428571427,0.2912280701754386,0.3333333333333333,0.37198067632850246,1.3687225309650939
64,Eric Staal,26,82,42,34,76,42,8,1068,11,4,17,0.512,0.415,0.927,241,17.4,42,49,104,81,22,30,52,34,-7,1087,7,6,15,0.272,0.37,0.642,215,10.2,41,28,0.5789473684210527,0.40476190476190477,0.6,0.3333333333333333,0.7053140096618357,2.622356616178126
65,Erik Karlsson,65,71,9,53,62,36,-25,1602,3,2,18,0.127,0.746,0.873,196,4.6,58,120,141,53,3,42,45,22,6,1469,2,1,20,0.057,0.792,0.849,169,1.8,44,69,0.39473684210526316,0.42857142857142855,0.4421052631578947,0.16666666666666666,0.08695652173913043,1.5190367222403836
66,Evander Kane,96,78,29,25,54,82,-9,1174,3,2,9,0.372,0.321,0.692,307,9.5,159,34,79,75,30,26,56,153,-4,1104,5,1,11,0.4,0.347,0.747,268,11.2,173,25,0.2894736842105263,0.21428571428571427,0.8315789473684211,0.16666666666666666,0.32367149758454106,1.8256765101158696
67,Evgeni Malkin,4,78,42,56,98,87,16,1139,14,7,38,0.538,0.718,1.256,239,17.6,48,32,48,68,21,51,72,89,-25,1128,9,5,26,0.309,0.75,1.059,187,11.2,54,33,0.868421052631579,0.9047619047619048,0.5929824561403508,0.5833333333333334,0.7149758454106281,3.6644745922777964
68,Evgeny Dadonov,49,74,28,37,65,8,10,1121,6,6,13,0.378,0.5,0.878,188,14.9,27,33,53,82,28,42,70,8,-6,1102,8,4,17,0.341,0.512,0.854,195,14.4,33,42,0.4342105263157895,0.30952380952380953,0.41403508771929826,0.5,0.5845410628019324,2.2423104863608296
69,Evgeny Kuznetsov,19,79,27,56,83,48,3,1128,7,8,30,0.342,0.709,1.051,187,14.4,50,26,49,76,21,51,72,50,7,1127,8,3,23,0.276,0.671,0.947,193,10.9,46,20,0.6710526315789473,0.7142857142857143,0.4105263157894737,0.6666666666666666,0.5603864734299517,3.0229178017507534
70,Filip Forsberg,54,67,26,38,64,38,27,1048,13,6,21,0.388,0.567,0.955,179,14.5,86,37,110,64,28,22,50,26,8,1116,7,4,10,0.438,0.344,0.781,217,12.9,100,29,0.42105263157894735,0.5,0.3824561403508772,0.5,0.5652173913043478,2.3687261632341725
71,Frans Nielsen,230,79,16,17,33,14,1,949,4,3,7,0.203,0.215,0.418,134,11.9,49,62,213,72,10,25,35,14,-7,1000,0,4,8,0.139,0.347,0.486,120,8.3,79,44,0.013157894736842105,0.16666666666666666,0.22456140350877193,0.25,0.4396135265700484,1.0939994914823292
72,Gabriel Landeskog,63,78,25,37,62,37,16,1208,8,1,17,0.321,0.474,0.795,183,13.7,149,51,37,73,34,41,75,51,17,1268,10,9,27,0.466,0.562,1.027,243,14.0,120,64,0.39473684210526316,0.40476190476190477,0.39649122807017545,0.08333333333333333,0.5265700483091786,1.8058933565798552
73,Gustav Nyquist,174,82,21,19,40,20,-2,1070,3,2,8,0.256,0.232,0.488,213,9.9,65,36,73,81,22,38,60,12,1,1051,2,3,12,0.272,0.469,0.741,204,10.8,36,23,0.10526315789473684,0.19047619047619047,0.5017543859649123,0.16666666666666666,0.34299516908212563,1.3071555700846318
74,Ivan Provorov,169,82,17,24,41,20,17,1448,2,2,5,0.207,0.293,0.5,203,8.4,148,169,315,82,7,19,26,32,-16,1506,0,1,2,0.085,0.232,0.317,145,4.8,123,149,0.11842105263157894,0.11904761904761904,0.4666666666666667,0.16666666666666666,0.2705314009661836,1.1413334059787148
75,J.T. Miller,81,82,23,35,58,40,-4,1021,11,5,18,0.28,0.427,0.707,143,16.1,124,26,130,75,13,34,47,30,8,879,4,4,20,0.173,0.453,0.627,108,12.0,115,23,0.34210526315789475,0.42857142857142855,0.256140350877193,0.4166666666666667,0.6425120772946861,2.085995786567869
76,Jack Eichel,55,67,25,39,64,32,-25,1209,3,4,20,0.373,0.582,0.955,246,10.2,52,35,24,77,28,54,82,26,-11,1226,8,2,26,0.364,0.701,1.065,303,9.2,70,51,0.42105263157894735,0.47619047619047616,0.6175438596491228,0.3333333333333333,0.357487922705314,2.2056082234571934
77,Jaden Schwartz,78,62,24,35,59,26,15,1163,6,3,11,0.387,0.565,0.952,157,15.3,52,30,203,69,11,25,36,16,-6,1087,2,1,5,0.159,0.362,0.522,183,6.0,61,27,0.35526315789473684,0.2619047619047619,0.30526315789473685,0.25,0.6038647342995169,1.7762958119937526
78,Jake DeBrusk,159,70,16,27,43,19,13,862,2,5,9,0.229,0.386,0.614,143,11.2,70,26,153,68,27,15,42,18,2,969,8,4,11,0.397,0.221,0.618,156,17.3,45,24,0.14473684210526316,0.21428571428571427,0.256140350877193,0.4166666666666667,0.40579710144927533,1.4376266753841125
79,Jake Gardiner,107,82,5,47,52,32,9,1351,1,0,15,0.061,0.573,0.634,133,3.8,51,103,267,62,3,27,30,26,19,1272,0,0,5,0.048,0.435,0.484,78,3.9,61,64,0.2631578947368421,0.35714285714285715,0.22105263157894736,0.0,0.04830917874396135,0.889662562202608
80,Jake Guentzel,128,82,22,26,48,42,-9,989,7,1,12,0.268,0.317,0.585,171,12.9,142,46,34,82,40,36,76,26,13,1161,6,4,11,0.488,0.439,0.927,227,17.6,105,47,0.21052631578947367,0.2857142857142857,0.3543859649122807,0.08333333333333333,0.4879227053140098,1.4218826050633833
81,Jake Muzzin,166,74,8,34,42,40,10,1299,4,1,14,0.108,0.459,0.568,154,5.2,170,123,197,80,9,28,37,47,21,1280,1,1,5,0.113,0.35,0.463,141,6.4,172,134,0.13157894736842105,0.3333333333333333,0.29473684210526313,0.08333333333333333,0.11594202898550726,0.958924485125858
82,Jakob Silfverberg,175,77,17,23,40,18,6,1077,2,2,8,0.221,0.299,0.519,187,9.1,52,61,148,73,24,19,43,28,-9,1025,3,4,11,0.329,0.26,0.589,163,14.7,38,43,0.10526315789473684,0.19047619047619047,0.4105263157894737,0.16666666666666666,0.30434782608695654,1.177280156914024
83,Jakub Vorácek,15,82,20,65,85,50,10,1167,5,3,35,0.244,0.793,1.037,228,8.8,23,32,62,78,20,46,66,25,-16,1120,4,2,18,0.256,0.59,0.846,210,9.5,17,29,0.6973684210526315,0.8333333333333334,0.5543859649122806,0.25,0.2898550724637682,2.6249427917620136
84,James van Riemsdyk,94,81,36,18,54,30,1,893,11,5,20,0.444,0.222,0.667,248,14.5,40,23,116,66,27,21,48,18,-10,996,8,4,13,0.409,0.318,0.727,167,16.2,34,16,0.2894736842105263,0.47619047619047616,0.624561403508772,0.4166666666666667,0.5652173913043478,2.372109621880789
85,Jamie Benn,22,82,36,43,79,54,20,1189,9,7,22,0.439,0.524,0.963,241,14.9,140,62,94,78,27,26,53,56,14,1093,8,2,11,0.346,0.333,0.679,189,14.3,142,71,0.618421052631579,0.5238095238095238,0.6,0.5833333333333334,0.5845410628019324,2.910104972576369
86,Jared Spurgeon,198,61,9,28,37,8,-6,1472,3,2,13,0.148,0.459,0.607,110,8.2,64,127,151,82,14,29,43,20,-1,1448,4,0,11,0.171,0.354,0.524,152,9.2,91,145,0.06578947368421052,0.30952380952380953,0.14035087719298245,0.16666666666666666,0.2608695652173913,0.9432003922850605
