,Name,Rk_2017,GP_2017,G_2017,A_2017,P_2017,PIM_2017,+/-_2017,TOI_2017,PPG_2017,GWG_2017,PPP_2017,G/GP_2017,A/GP_2017,P/GP_2017,SHOTS_2017,SH_2017,HITS_2017,BS_2017,Rk_2018,GP_2018,G_2018,A_2018,P_2018,PIM_2018,+/-_2018,TOI_2018,PPG_2018,GWG_2018,PPP_2018,G/GP_2018,A/GP_2018,P/GP_2018,SHOTS_2018,SH_2018,HITS_2018,BS_2018,norm_P_2017,norm_PPP_2017,norm_SHOTS_2017,norm_GWG_2017,norm_SH_2017,norm_total_2017
0,Aaron Ekblad,185,82,16,22,38,71,9,1402,5,4,11,0.195,0.268,0.463,189,8.5,69,121,193,82,13,24,37,47,1,1418,5,1,10,0.159,0.293,0.451,180,7.2,114,88,0.07894736842105263,0.2619047619047619,0.41754385964912283,0.3333333333333333,0.2753623188405797,1.3670916421488504
1,Adam Henrique,115,81,24,26,50,20,11,1066,6,8,13,0.296,0.321,0.617,151,15.9,61,61,155,82,18,24,42,24,-5,987,8,3,13,0.22,0.293,0.512,122,14.8,78,71,0.23684210526315788,0.30952380952380953,0.28421052631578947,0.6666666666666666,0.6328502415458939,2.1300933493153176
2,Adrian Kempe,193,81,16,21,37,49,11,799,1,3,5,0.198,0.259,0.457,119,13.5,91,18,280,81,12,16,28,50,-10,870,0,2,4,0.148,0.198,0.346,118,10.2,86,21,0.06578947368421052,0.11904761904761904,0.17192982456140352,0.25,0.5169082125603864,1.1236751298536194
3,Aleksander Barkov,25,79,27,51,78,14,9,1324,5,3,17,0.342,0.646,0.987,256,10.6,30,67,10,82,35,61,96,8,-3,1341,13,5,31,0.427,0.744,1.171,206,17.0,28,61,0.6052631578947368,0.40476190476190477,0.6526315789473685,0.25,0.37681159420289856,2.2894682358069085
4,Alex DeBrincat,102,82,28,24,52,6,6,888,6,1,12,0.341,0.293,0.634,181,15.5,40,25,33,82,41,35,76,15,0,1062,13,3,24,0.5,0.427,0.927,220,18.6,35,26,0.2631578947368421,0.2857142857142857,0.3894736842105263,0.08333333333333333,0.6135265700483091,1.6352057680432965
5,Alex Galchenyuk,109,82,19,32,51,22,-31,974,9,2,24,0.232,0.39,0.622,213,8.9,33,37,161,72,19,22,41,34,-19,943,9,4,21,0.264,0.306,0.569,159,12.0,62,34,0.25,0.5714285714285714,0.5017543859649123,0.16666666666666666,0.2946859903381643,1.7845356143983147
6,Alex Goligoski,214,78,12,23,35,26,-31,1396,3,3,11,0.154,0.295,0.449,119,10.1,114,154,303,76,3,24,27,16,-7,1249,1,0,7,0.039,0.316,0.355,102,2.9,79,154,0.039473684210526314,0.2619047619047619,0.17192982456140352,0.25,0.3526570048309179,1.0759652755076097
7,Alex Killorn,136,82,15,32,47,45,22,990,2,1,9,0.183,0.39,0.573,156,9.6,82,25,169,82,18,22,40,45,22,892,2,2,5,0.22,0.268,0.488,153,11.8,88,23,0.19736842105263158,0.21428571428571427,0.3017543859649123,0.08333333333333333,0.3285024154589372,1.1252442700955287
8,Alex Pietrangelo,97,78,15,39,54,22,8,1544,3,5,13,0.192,0.5,0.692,216,6.9,48,164,164,71,13,28,41,22,2,1444,3,2,15,0.183,0.394,0.577,168,7.7,62,139,0.2894736842105263,0.30952380952380953,0.512280701754386,0.4166666666666667,0.19806763285024157,1.7260124950056301
9,Alex Tuch,195,78,15,22,37,27,3,913,4,4,10,0.192,0.282,0.474,171,8.8,99,42,105,74,20,32,52,8,13,1003,3,6,6,0.27,0.432,0.703,180,11.1,92,40,0.06578947368421052,0.23809523809523808,0.3543859649122807,0.3333333333333333,0.2898550724637682,1.2814590824888308
10,Alexander Edler,227,70,6,28,34,68,-18,1458,1,2,15,0.086,0.4,0.486,172,3.5,157,203,225,56,10,24,34,54,3,1474,4,2,17,0.179,0.429,0.607,128,7.8,127,166,0.02631578947368421,0.35714285714285715,0.35789473684210527,0.16666666666666666,0.03381642512077296,0.9418364752460863
11,Alexander Kerfoot,157,79,19,24,43,28,-7,805,5,0,17,0.241,0.304,0.544,81,23.5,42,35,157,78,15,27,42,38,-9,892,4,1,16,0.192,0.346,0.538,116,12.9,22,29,0.14473684210526316,0.40476190476190477,0.03859649122807018,0.0,1.0,1.5880952380952382
12,Alexander Ovechkin,11,82,49,38,87,32,3,1208,17,7,31,0.598,0.463,1.061,355,13.8,139,21,15,81,51,38,89,40,7,1255,18,5,28,0.63,0.469,1.099,338,15.1,223,41,0.7236842105263158,0.7380952380952381,1.0,0.5833333333333334,0.5314009661835749,3.5765137481384626
13,Alexander Radulov,31,82,27,45,72,72,4,1207,7,4,23,0.329,0.549,0.878,217,12.4,77,64,46,70,29,43,72,54,22,1186,7,7,23,0.414,0.614,1.029,209,13.9,60,83,0.5263157894736842,0.5476190476190477,0.5157894736842106,0.3333333333333333,0.46376811594202905,2.3868257600523046
14,Alexander Steen,142,76,15,31,46,20,-11,1122,4,2,14,0.197,0.408,0.605,168,8.9,53,58,296,65,10,17,27,14,2,950,2,0,5,0.154,0.262,0.415,114,8.8,55,50,0.18421052631578946,0.3333333333333333,0.34385964912280703,0.16666666666666666,0.2946859903381643,1.3227561657767608
15,Alexander Wennberg,217,66,8,27,35,12,22,1087,3,2,5,0.121,0.409,0.53,74,10.8,28,46,337,75,2,23,25,12,-1,904,1,0,6,0.027,0.307,0.333,64,3.1,34,32,0.039473684210526314,0.11904761904761904,0.014035087719298246,0.16666666666666666,0.3864734299516908,0.725696487595801
16,Anders Lee,62,82,40,22,62,44,-25,1036,14,2,22,0.488,0.268,0.756,208,19.2,102,38,106,82,28,23,51,58,20,1025,10,5,16,0.341,0.28,0.622,204,13.7,103,51,0.39473684210526316,0.5238095238095238,0.4842105263157895,0.16666666666666666,0.7922705314009661,2.3616940902982093
17,Andreas Athanasiou,229,71,16,17,33,16,-15,918,1,2,3,0.225,0.239,0.465,170,9.4,24,28,89,76,30,24,54,38,-9,1018,3,4,11,0.395,0.316,0.711,216,13.9,33,26,0.013157894736842105,0.07142857142857142,0.3508771929824561,0.16666666666666666,0.31884057971014496,0.9209709055246813
18,Anthony Beauvillier,201,71,21,15,36,16,2,872,3,2,8,0.296,0.211,0.507,132,15.9,80,29,279,81,18,10,28,8,1,878,1,4,2,0.222,0.123,0.346,156,11.5,87,35,0.05263157894736842,0.19047619047619047,0.21754385964912282,0.16666666666666666,0.6328502415458939,1.2601685372852423
19,Anthony Mantha,125,80,24,24,48,52,-1,1037,9,2,12,0.3,0.3,0.6,190,12.6,91,36,117,67,25,23,48,30,-8,1069,7,1,13,0.373,0.343,0.716,198,12.6,67,23,0.21052631578947367,0.2857142857142857,0.42105263157894735,0.16666666666666666,0.4734299516908213,1.5573898514401947
20,Anze Kopitar,7,82,35,57,92,20,21,1325,7,6,27,0.427,0.695,1.122,200,17.5,50,64,72,81,22,38,60,30,-20,1338,1,3,19,0.272,0.469,0.741,156,14.1,59,66,0.7894736842105263,0.6428571428571429,0.45614035087719296,0.5,0.7101449275362319,3.0986161054810943
21,Artemi Panarin,20,81,27,55,82,26,23,1207,7,5,21,0.333,0.679,1.012,228,11.8,15,19,18,79,28,59,87,23,14,1191,6,8,18,0.354,0.747,1.101,191,14.7,14,17,0.6578947368421053,0.5,0.5543859649122806,0.4166666666666667,0.43478260869565216,2.563729977116705
22,Auston Matthews,58,62,34,29,63,12,25,1087,5,5,13,0.548,0.468,1.016,187,18.2,16,61,42,68,37,36,73,12,-9,1113,12,5,20,0.544,0.529,1.074,251,14.7,28,60,0.40789473684210525,0.30952380952380953,0.4105263157894737,0.4166666666666667,0.7439613526570048,2.28857288147906
