,G_Diff,A_Diff,P_Diff,PIM_Diff,HITS_Diff,+/-_Diff,BS_Diff
161,-11,-1,-12,-32,13,-5,-30
162,2,14,16,4,-5,2,18
163,17,17,34,-10,3,22,4
164,-11,1,-10,12,-11,-7,15
165,-7,-8,-15,-9,-15,-4,-7
166,-14,-6,-20,18,-4,-32,1
167,-5,1,-4,-6,-23,20,-19
168,-3,-8,-11,12,-8,13,-23
169,7,-12,-5,-7,9,-7,-15
170,-7,-3,-10,-8,2,-15,1
171,7,6,13,15,-12,8,6
172,-2,-1,-3,18,2,-24,9
173,-1,3,2,-10,29,-16,10
174,-3,-4,-7,-10,-1,-18,9
175,0,-2,-2,6,0,-10,15
176,-16,-10,-26,13,-33,-19,8
177,1,2,3,18,-27,-15,24
178,3,12,15,-6,-6,8,19
179,-2,11,9,14,44,-5,70
180,3,-16,-13,16,54,-39,17
181,-1,11,10,-36,8,-6,-12
182,4,17,21,6,25,-23,1
183,4,12,16,10,-11,45,-12
184,-1,6,5,8,30,25,62
185,6,-5,1,31,33,1,19
186,1,-5,-4,7,0,-7,-29
187,-3,18,15,-10,-10,14,5
188,2,-2,0,3,-34,-32,16
189,3,15,18,-12,1,4,7
190,1,17,18,2,0,21,17
191,-7,-4,-11,-2,14,-9,9
192,-4,-24,-28,-3,-7,-30,-14
193,6,5,11,-10,10,18,7
194,18,-6,12,-35,11,-14,5
195,7,0,7,5,9,3,1
196,3,-16,-13,-2,12,-26,5
197,-28,-28,-56,-18,-50,-20,-15
198,-2,14,12,-2,9,22,1
199,-8,-12,-20,-10,2,-9,-5
200,9,21,30,4,-6,7,-8
201,8,-3,5,-59,-50,1,1
202,13,15,28,-23,-31,7,-7
203,5,19,24,0,10,40,1
204,-8,2,-6,-3,-26,-2,-13
205,0,2,2,-6,-32,-21,-8
206,2,-7,-5,-8,9,-9,5
207,8,-11,-3,4,2,12,-15
208,3,-8,-5,15,29,2,-20
209,-7,9,2,-25,0,5,3
210,-11,-2,-13,7,-36,-25,6
211,0,2,2,14,8,12,14
212,6,-8,-2,-4,-13,26,-21
213,-5,-4,-9,-10,-80,-8,-13
214,5,-18,-13,-10,-12,-8,-29
215,-21,-20,-41,0,-33,0,-13
216,0,2,2,5,-1,-7,3
217,-11,-6,-17,-1,61,-13,18
218,-7,-9,-16,42,8,0,-26
219,-1,-13,-14,10,17,-18,12
220,-19,-3,-22,4,3,-48,10
221,-13,-21,-34,6,-5,-24,-4
222,-3,-13,-16,16,26,-25,-12
223,6,-5,1,28,-15,-6,-16
224,-5,12,7,2,9,-20,-3
