,Rk,Name,GP,G,A,P,PIM,+/-,TOI,PPG,GWG,PPP,G/GP,A/GP,P/GP,SHOTS,HITS,BS,Year,SH%
29,296,Alexander Steen,65,10,17,27,14,2,15.83,2,0,5,0.154,0.262,0.415,114,55,50,2018,0.088
30,337,Alexander Wennberg,75,2,23,25,12,-1,15.07,1,0,6,0.027,0.307,0.333,64,34,32,2018,0.031
31,217,Alexander Wennberg,66,8,27,35,12,22,18.12,3,2,5,0.121,0.409,0.53,74,28,46,2017,0.108
32,62,Anders Lee,82,40,22,62,44,-25,17.27,14,2,22,0.488,0.268,0.756,208,102,38,2017,0.192
33,106,Anders Lee,82,28,23,51,58,20,17.08,10,5,16,0.341,0.28,0.622,204,103,51,2018,0.137
34,89,Andreas Athanasiou,76,30,24,54,38,-9,16.97,3,4,11,0.395,0.316,0.711,216,33,26,2018,0.139
35,229,Andreas Athanasiou,71,16,17,33,16,-15,15.3,1,2,3,0.225,0.239,0.465,170,24,28,2017,0.094
36,201,Anthony Beauvillier,71,21,15,36,16,2,14.53,3,2,8,0.296,0.211,0.507,132,80,29,2017,0.159
37,279,Anthony Beauvillier,81,18,10,28,8,1,14.63,1,4,2,0.222,0.123,0.346,156,87,35,2018,0.115
38,117,Anthony Mantha,67,25,23,48,30,-8,17.82,7,1,13,0.373,0.343,0.716,198,67,23,2018,0.126
39,125,Anthony Mantha,80,24,24,48,52,-1,17.28,9,2,12,0.3,0.3,0.6,190,91,36,2017,0.126
40,7,Anze Kopitar,82,35,57,92,20,21,22.08,7,6,27,0.427,0.695,1.122,200,50,64,2017,0.175
41,72,Anze Kopitar,81,22,38,60,30,-20,22.3,1,3,19,0.272,0.469,0.741,156,59,66,2018,0.141
42,18,Artemi Panarin,79,28,59,87,23,14,19.85,6,8,18,0.354,0.747,1.101,191,14,17,2018,0.147
43,20,Artemi Panarin,81,27,55,82,26,23,20.12,7,5,21,0.333,0.679,1.012,228,15,19,2017,0.118
44,58,Auston Matthews,62,34,29,63,12,25,18.12,5,5,13,0.548,0.468,1.016,187,16,61,2017,0.182
45,42,Auston Matthews,68,37,36,73,12,-9,18.55,12,5,20,0.544,0.529,1.074,251,28,60,2018,0.147
46,14,Blake Wheeler,82,20,71,91,60,0,20.7,2,3,33,0.244,0.866,1.11,231,81,53,2018,0.087
47,9,Blake Wheeler,81,23,68,91,52,13,20.23,6,2,40,0.284,0.84,1.123,246,94,66,2017,0.094
48,151,Bo Horvat,64,22,22,44,10,-1,19.35,10,3,13,0.344,0.344,0.688,158,35,29,2017,0.139
49,70,Bo Horvat,82,27,34,61,33,-4,20.83,7,3,18,0.329,0.415,0.744,227,62,63,2018,0.119
