Name,Rk_2017,GP_2017,G_2017,A_2017,P_2017,PIM_2017,+/-_2017,TOI_2017,PPG_2017,GWG_2017,PPP_2017,G/GP_2017,A/GP_2017,P/GP_2017,SHOTS_2017,SH%_2017,HITS_2017,BS_2017,Rk_2018,GP_2018,G_2018,A_2018,P_2018,PIM_2018,+/-_2018,TOI_2018,PPG_2018,GWG_2018,PPP_2018,G/GP_2018,A/GP_2018,P/GP_2018,SHOTS_2018,SH%_2018,HITS_2018,BS_2018
Aaron Ekblad,185.0,82.0,16.0,22.0,38.0,71.0,9.0,1402.0,5.0,4.0,11.0,0.195,0.268,0.46299999999999997,189.0,8.5,69.0,121.0,193.0,82.0,13.0,24.0,37.0,47.0,1.0,1418.0,5.0,1.0,10.0,0.159,0.293,0.451,180.0,7.2,114.0,88.0
Adam Henrique,115.0,81.0,24.0,26.0,50.0,20.0,11.0,1066.0,6.0,8.0,13.0,0.29600000000000004,0.321,0.617,151.0,15.9,61.0,61.0,155.0,82.0,18.0,24.0,42.0,24.0,-5.0,987.0,8.0,3.0,13.0,0.22,0.293,0.512,122.0,14.8,78.0,71.0
Adrian Kempe,193.0,81.0,16.0,21.0,37.0,49.0,11.0,799.0,1.0,3.0,5.0,0.198,0.259,0.457,119.0,13.5,91.0,18.0,280.0,81.0,12.0,16.0,28.0,50.0,-10.0,870.0,0.0,2.0,4.0,0.14800000000000002,0.198,0.34600000000000003,118.0,10.2,86.0,21.0
Aleksander Barkov,25.0,79.0,27.0,51.0,78.0,14.0,9.0,1324.0,5.0,3.0,17.0,0.342,0.6459999999999999,0.987,256.0,10.6,30.0,67.0,10.0,82.0,35.0,61.0,96.0,8.0,-3.0,1341.0,13.0,5.0,31.0,0.42700000000000005,0.7440000000000001,1.171,206.0,17.0,28.0,61.0
Alex DeBrincat,102.0,82.0,28.0,24.0,52.0,6.0,6.0,888.0,6.0,1.0,12.0,0.341,0.293,0.634,181.0,15.5,40.0,25.0,33.0,82.0,41.0,35.0,76.0,15.0,0.0,1062.0,13.0,3.0,24.0,0.5,0.42700000000000005,0.927,220.0,18.6,35.0,26.0
Alex Galchenyuk,109.0,82.0,19.0,32.0,51.0,22.0,-31.0,974.0,9.0,2.0,24.0,0.23199999999999998,0.39,0.622,213.0,8.9,33.0,37.0,161.0,72.0,19.0,22.0,41.0,34.0,-19.0,943.0,9.0,4.0,21.0,0.264,0.306,0.569,159.0,12.0,62.0,34.0
Alex Goligoski,214.0,78.0,12.0,23.0,35.0,26.0,-31.0,1396.0,3.0,3.0,11.0,0.154,0.295,0.449,119.0,10.1,114.0,154.0,303.0,76.0,3.0,24.0,27.0,16.0,-7.0,1249.0,1.0,0.0,7.0,0.039,0.316,0.355,102.0,2.9,79.0,154.0
Alex Killorn,136.0,82.0,15.0,32.0,47.0,45.0,22.0,990.0,2.0,1.0,9.0,0.183,0.39,0.573,156.0,9.6,82.0,25.0,169.0,82.0,18.0,22.0,40.0,45.0,22.0,892.0,2.0,2.0,5.0,0.22,0.268,0.488,153.0,11.8,88.0,23.0
Alex Pietrangelo,97.0,78.0,15.0,39.0,54.0,22.0,8.0,1544.0,3.0,5.0,13.0,0.192,0.5,0.6920000000000001,216.0,6.9,48.0,164.0,164.0,71.0,13.0,28.0,41.0,22.0,2.0,1444.0,3.0,2.0,15.0,0.183,0.39399999999999996,0.5770000000000001,168.0,7.7,62.0,139.0
Alex Tuch,195.0,78.0,15.0,22.0,37.0,27.0,3.0,913.0,4.0,4.0,10.0,0.192,0.282,0.474,171.0,8.8,99.0,42.0,105.0,74.0,20.0,32.0,52.0,8.0,13.0,1003.0,3.0,6.0,6.0,0.27,0.43200000000000005,0.703,180.0,11.1,92.0,40.0
Alexander Edler,227.0,70.0,6.0,28.0,34.0,68.0,-18.0,1458.0,1.0,2.0,15.0,0.086,0.4,0.486,172.0,3.5,157.0,203.0,225.0,56.0,10.0,24.0,34.0,54.0,3.0,1474.0,4.0,2.0,17.0,0.179,0.429,0.607,128.0,7.8,127.0,166.0
Alexander Kerfoot,157.0,79.0,19.0,24.0,43.0,28.0,-7.0,805.0,5.0,0.0,17.0,0.24100000000000002,0.304,0.544,81.0,23.5,42.0,35.0,157.0,78.0,15.0,27.0,42.0,38.0,-9.0,892.0,4.0,1.0,16.0,0.192,0.34600000000000003,0.5379999999999999,116.0,12.9,22.0,29.0
Alexander Ovechkin,11.0,82.0,49.0,38.0,87.0,32.0,3.0,1208.0,17.0,7.0,31.0,0.598,0.46299999999999997,1.061,355.0,13.8,139.0,21.0,15.0,81.0,51.0,38.0,89.0,40.0,7.0,1255.0,18.0,5.0,28.0,0.63,0.469,1.099,338.0,15.1,223.0,41.0
Alexander Radulov,31.0,82.0,27.0,45.0,72.0,72.0,4.0,1207.0,7.0,4.0,23.0,0.32899999999999996,0.5489999999999999,0.878,217.0,12.4,77.0,64.0,46.0,70.0,29.0,43.0,72.0,54.0,22.0,1186.0,7.0,7.0,23.0,0.414,0.614,1.0290000000000001,209.0,13.9,60.0,83.0
Alexander Steen,142.0,76.0,15.0,31.0,46.0,20.0,-11.0,1122.0,4.0,2.0,14.0,0.19699999999999998,0.408,0.605,168.0,8.9,53.0,58.0,296.0,65.0,10.0,17.0,27.0,14.0,2.0,950.0,2.0,0.0,5.0,0.154,0.262,0.415,114.0,8.8,55.0,50.0
Alexander Wennberg,217.0,66.0,8.0,27.0,35.0,12.0,22.0,1087.0,3.0,2.0,5.0,0.121,0.409,0.53,74.0,10.8,28.0,46.0,337.0,75.0,2.0,23.0,25.0,12.0,-1.0,904.0,1.0,0.0,6.0,0.027000000000000003,0.307,0.33299999999999996,64.0,3.1,34.0,32.0
Anders Lee,62.0,82.0,40.0,22.0,62.0,44.0,-25.0,1036.0,14.0,2.0,22.0,0.488,0.268,0.7559999999999999,208.0,19.2,102.0,38.0,106.0,82.0,28.0,23.0,51.0,58.0,20.0,1025.0,10.0,5.0,16.0,0.341,0.28,0.622,204.0,13.7,103.0,51.0
Andreas Athanasiou,229.0,71.0,16.0,17.0,33.0,16.0,-15.0,918.0,1.0,2.0,3.0,0.225,0.239,0.465,170.0,9.4,24.0,28.0,89.0,76.0,30.0,24.0,54.0,38.0,-9.0,1018.0,3.0,4.0,11.0,0.395,0.316,0.711,216.0,13.9,33.0,26.0
Anthony Beauvillier,201.0,71.0,21.0,15.0,36.0,16.0,2.0,872.0,3.0,2.0,8.0,0.29600000000000004,0.21100000000000002,0.507,132.0,15.9,80.0,29.0,279.0,81.0,18.0,10.0,28.0,8.0,1.0,878.0,1.0,4.0,2.0,0.222,0.12300000000000001,0.34600000000000003,156.0,11.5,87.0,35.0
Anthony Mantha,125.0,80.0,24.0,24.0,48.0,52.0,-1.0,1037.0,9.0,2.0,12.0,0.3,0.3,0.6,190.0,12.6,91.0,36.0,117.0,67.0,25.0,23.0,48.0,30.0,-8.0,1069.0,7.0,1.0,13.0,0.373,0.34299999999999997,0.716,198.0,12.6,67.0,23.0
Anze Kopitar,7.0,82.0,35.0,57.0,92.0,20.0,21.0,1325.0,7.0,6.0,27.0,0.42700000000000005,0.695,1.122,200.0,17.5,50.0,64.0,72.0,81.0,22.0,38.0,60.0,30.0,-20.0,1338.0,1.0,3.0,19.0,0.272,0.469,0.741,156.0,14.1,59.0,66.0
Artemi Panarin,20.0,81.0,27.0,55.0,82.0,26.0,23.0,1207.0,7.0,5.0,21.0,0.33299999999999996,0.679,1.012,228.0,11.8,15.0,19.0,18.0,79.0,28.0,59.0,87.0,23.0,14.0,1191.0,6.0,8.0,18.0,0.354,0.747,1.101,191.0,14.7,14.0,17.0
Auston Matthews,58.0,62.0,34.0,29.0,63.0,12.0,25.0,1087.0,5.0,5.0,13.0,0.5479999999999999,0.46799999999999997,1.016,187.0,18.2,16.0,61.0,42.0,68.0,37.0,36.0,73.0,12.0,-9.0,1113.0,12.0,5.0,20.0,0.544,0.529,1.074,251.0,14.7,28.0,60.0
Blake Wheeler,9.0,81.0,23.0,68.0,91.0,52.0,13.0,1214.0,6.0,2.0,40.0,0.284,0.84,1.123,246.0,9.4,94.0,66.0,14.0,82.0,20.0,71.0,91.0,60.0,0.0,1242.0,2.0,3.0,33.0,0.244,0.866,1.11,231.0,8.7,81.0,53.0
Bo Horvat,151.0,64.0,22.0,22.0,44.0,10.0,-1.0,1161.0,10.0,3.0,13.0,0.344,0.344,0.688,158.0,13.9,35.0,29.0,70.0,82.0,27.0,34.0,61.0,33.0,-4.0,1250.0,7.0,3.0,18.0,0.32899999999999996,0.415,0.7440000000000001,227.0,11.9,62.0,63.0
Bobby Ryan,235.0,62.0,11.0,22.0,33.0,14.0,-12.0,986.0,1.0,1.0,4.0,0.177,0.355,0.532,112.0,9.8,97.0,52.0,156.0,78.0,15.0,27.0,42.0,35.0,-29.0,940.0,7.0,1.0,16.0,0.192,0.34600000000000003,0.5379999999999999,160.0,9.4,77.0,49.0
Boone Jenner,243.0,75.0,13.0,19.0,32.0,39.0,1.0,987.0,2.0,2.0,3.0,0.17300000000000001,0.253,0.42700000000000005,187.0,7.0,205.0,83.0,182.0,77.0,16.0,22.0,38.0,42.0,6.0,1023.0,1.0,3.0,3.0,0.20800000000000002,0.28600000000000003,0.494,170.0,9.4,158.0,70.0
Brad Marchand,13.0,68.0,34.0,51.0,85.0,63.0,25.0,1182.0,8.0,8.0,23.0,0.5,0.75,1.25,182.0,18.7,37.0,25.0,5.0,79.0,36.0,64.0,100.0,96.0,15.0,1177.0,10.0,9.0,34.0,0.456,0.81,1.266,231.0,15.6,46.0,19.0
Brandon Montour,250.0,80.0,9.0,23.0,32.0,42.0,16.0,1228.0,5.0,5.0,12.0,0.113,0.28800000000000003,0.4,160.0,5.6,96.0,83.0,215.0,82.0,8.0,27.0,35.0,56.0,-20.0,1346.0,1.0,2.0,6.0,0.098,0.32899999999999996,0.42700000000000005,181.0,4.4,99.0,121.0
Brandon Saad,208.0,82.0,18.0,17.0,35.0,14.0,-10.0,1050.0,1.0,8.0,1.0,0.22,0.207,0.42700000000000005,237.0,7.6,29.0,32.0,124.0,80.0,23.0,24.0,47.0,12.0,-9.0,1061.0,5.0,3.0,6.0,0.28800000000000003,0.3,0.588,195.0,11.8,52.0,25.0
Brayden Point,45.0,82.0,32.0,34.0,66.0,24.0,18.0,1178.0,5.0,12.0,11.0,0.39,0.415,0.805,217.0,14.8,26.0,57.0,12.0,79.0,41.0,51.0,92.0,28.0,27.0,1135.0,20.0,7.0,35.0,0.519,0.6459999999999999,1.165,191.0,21.5,31.0,43.0
Brayden Schenn,35.0,82.0,28.0,42.0,70.0,56.0,10.0,1183.0,8.0,8.0,19.0,0.341,0.512,0.8540000000000001,210.0,13.3,154.0,37.0,91.0,72.0,17.0,37.0,54.0,40.0,3.0,1115.0,4.0,5.0,12.0,0.23600000000000002,0.514,0.75,159.0,10.7,111.0,31.0
Brendan Gallagher,95.0,82.0,31.0,23.0,54.0,34.0,-13.0,970.0,8.0,4.0,17.0,0.37799999999999995,0.28,0.659,278.0,11.2,90.0,41.0,102.0,82.0,33.0,19.0,52.0,49.0,10.0,983.0,4.0,4.0,7.0,0.402,0.23199999999999998,0.634,302.0,10.9,126.0,31.0
Brent Burns,42.0,82.0,12.0,55.0,67.0,46.0,-16.0,1514.0,5.0,2.0,27.0,0.146,0.6709999999999999,0.8170000000000001,332.0,3.6,79.0,136.0,22.0,82.0,16.0,67.0,83.0,34.0,13.0,1505.0,7.0,6.0,28.0,0.195,0.8170000000000001,1.012,300.0,5.3,90.0,105.0
Brock Boeser,91.0,62.0,29.0,26.0,55.0,16.0,-5.0,1049.0,10.0,4.0,23.0,0.46799999999999997,0.419,0.887,179.0,16.2,29.0,24.0,80.0,69.0,26.0,30.0,56.0,22.0,-2.0,1149.0,6.0,3.0,15.0,0.377,0.435,0.812,209.0,12.4,14.0,22.0
Brock Nelson,207.0,82.0,19.0,16.0,35.0,43.0,-4.0,884.0,4.0,3.0,8.0,0.23199999999999998,0.195,0.42700000000000005,138.0,13.8,50.0,52.0,95.0,82.0,25.0,28.0,53.0,28.0,20.0,1078.0,2.0,3.0,8.0,0.305,0.341,0.6459999999999999,181.0,13.8,51.0,55.0
