Rk,Name,GP,G,A,P,PIM,+/-,TOI,PPG,GWG,PPP,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS
334,Mattias Janmark-Nylén,81,6,19,25,24,-4,15:12,0,0,1,0.074,0.235,0.309,105,5.70%,28,44
335,Andy Greene,82,5,20,25,16,-9,20:50,0,0,2,0.061,0.244,0.305,104,4.80%,67,208
336,Marc-Edouard Vlasic,72,3,22,25,10,-6,21:02,0,0,1,0.042,0.306,0.347,100,3.00%,23,114
337,Alexander Wennberg,75,2,23,25,12,-1,15:04,1,0,6,0.027,0.307,0.333,64,3.10%,34,32
338,Marcus Pettersson,84,2,23,25,66,17,16:40,1,0,5,0.024,0.274,0.298,87,2.30%,101,108
339,Brian Boyle,73,18,6,24,38,-14,13:26,7,4,9,0.247,0.082,0.329,123,14.60%,145,50
340,Josh Leivo,76,14,10,24,32,5,14:01,3,2,7,0.184,0.132,0.316,151,9.30%,44,23
341,Jordan Greenway,81,12,12,24,29,-12,13:37,0,0,0,0.148,0.148,0.296,109,11.00%,57,40
342,Miles Wood,63,10,14,24,91,-10,13:41,1,1,3,0.159,0.222,0.381,159,6.30%,97,27
343,Jack Roslovic,77,9,15,24,4,-2,09:44,5,0,7,0.117,0.195,0.312,74,12.20%,32,21
344,David Savard,82,8,16,24,36,19,19:44,0,1,0,0.098,0.195,0.293,124,6.50%,122,123
345,Kenny Agostino,63,6,18,24,34,-3,12:55,0,0,5,0.095,0.286,0.381,79,7.60%,143,14
346,Daniel Sprong,63,14,9,23,10,-16,11:57,2,3,5,0.222,0.143,0.365,125,11.20%,35,14
347,Derick Brassard,70,14,9,23,39,-19,14:59,2,0,5,0.2,0.129,0.329,110,12.70%,102,15
348,Joel Armia,57,13,10,23,14,0,15:47,2,2,6,0.228,0.175,0.404,134,9.70%,113,21
349,Drake Caggiula,55,12,11,23,28,-5,14:25,0,2,0,0.218,0.2,0.418,96,12.50%,135,26
350,Adam Lowry,78,12,11,23,33,6,14:38,0,3,0,0.154,0.141,0.295,105,11.40%,223,49
